count,co2_level,ldr_value,temp,humidity,fan_speed,light_intensity
17,2768,158,42.5,60.9,3,4
8,1427,63,31.4,69.2,2,3
6,1311,38,35.2,65.0,2,3
19,2956,337,30.4,63.2,3,4
7,1301,140,22.8,61.1,1,3
13,2394,99,40.4,57.8,3,3
2,547,7,38.3,59.3,1,2
13,2354,344,29.0,55.1,2,3
14,2000,121,37.5,64.8,3,3
4,1139,857,39.7,49.4,1,0
10,1712,268,41.7,82.1,3,3
12,2173,742,38.5,56.3,2,2
8,1262,262,38.0,62.1,2,2
12,2119,917,26.2,51.8,2,1
7,1205,96,31.4,59.0,2,3
18,2904,575,24.4,59.4,2,3
11,1982,32,32.1,73.4,3,3
15,2557,163,31.3,49.7,2,4
8,1413,285,15.6,61.8,1,2
16,2404,423,53.0,51.3,3,3
15,2490,7,38.6,58.2,3,4
17,2828,796,42.9,53.2,3,2
18,2637,657,43.3,61.0,3,3
4,1107,451,33.5,63.6,2,2
9,1528,562,44.5,64.2,3,2
12,1788,814,32.7,65.1,2,1
10,1638,863,13.0,62.9,1,1
20,3000,492,30.2,60.3,3,3
14,2032,50,24.0,65.3,2,4
4,996,9,45.9,76.8,3,3
1,200,804,25.6,70.8,1,0
20,3000,69,50.5,74.7,4,4
3,922,757,34.3,55.7,1,1
0,480,186,23.8,70.3,0,0
4,684,620,32.7,51.2,1,1
19,2752,521,23.9,70.1,2,3
13,2431,947,47.1,67.4,3,1
8,1553,768,30.9,49.4,1,1
16,2476,75,29.6,76.2,3,4
7,1351,48,22.0,52.0,1,3
8,1534,508,34.2,60.9,2,2
8,1179,344,32.7,79.2,2,2
16,2349,677,25.0,68.7,2,2
14,2214,834,40.6,54.4,3,2
19,2831,454,48.8,55.4,3,3
5,1131,420,48.1,43.2,2,2
6,1448,841,24.6,61.7,1,1
19,3000,1000,26.5,62.8,2,2
6,1102,865,38.0,64.5,2,1
8,1274,67,47.4,68.2,3,3
0,355,27,45.0,53.3,0,0
3,895,131,31.8,57.4,1,2
20,3000,733,13.0,73.5,2,3
9,1442,102,14.7,51.0,0,3
6,1327,274,42.4,71.2,3,2
19,3000,978,20.7,43.0,1,2
6,1479,886,51.2,57.2,3,1
14,2057,895,31.9,79.7,3,1
5,1132,980,35.2,80.2,2,0
11,1735,723,24.0,50.7,1,1
19,2889,753,44.1,59.3,3,2
3,800,405,45.4,64.6,2,1
12,1855,51,28.7,49.4,2,3
19,2885,199,26.1,71.7,3,4
13,2156,527,26.6,76.2,2,2
1,501,111,34.0,75.7,2,2
6,1069,729,37.1,51.6,2,1
10,1609,340,24.9,54.1,1,2
18,2787,753,24.0,72.4,2,2
15,2218,411,43.9,82.2,4,3
16,2449,531,17.4,65.3,2,3
8,1389,752,21.3,62.5,0,1
14,2313,750,18.8,58.9,2,2
7,1225,585,24.4,62.4,1,1
16,2312,848,23.0,58.1,2,2
0,387,10,25.6,64.8,0,0
0,564,1000,21.3,57.8,0,0
12,1748,85,38.7,65.8,2,3
2,453,507,34.7,69.6,2,1
4,766,412,32.6,58.4,2,2
15,2465,940,28.6,64.7,2,1
16,2313,659,25.5,43.0,1,2
2,459,779,33.3,83.0,2,0
18,2709,771,39.8,52.6,3,2
11,1717,84,13.8,64.1,1,3
9,1582,148,29.8,60.6,2,3
13,2154,85,48.0,65.5,3,3
1,430,327,36.1,56.3,1,1
6,1381,392,31.2,46.7,1,2
16,2299,711,23.3,55.0,2,2
16,2322,59,37.3,71.9,3,4
12,2129,831,40.5,60.9,2,0
9,1515,80,39.4,47.6,2,3
1,738,859,40.7,66.1,2,0
20,2860,62,43.1,71.0,3,4
10,1815,774,29.3,63.8,2,2
10,1965,575,23.4,69.3,2,2
20,3000,412,22.5,53.0,2,3
16,2262,69,32.6,43.0,2,4
19,3000,406,33.3,59.8,3,3
16,2683,2,40.3,61.8,3,4
17,2428,5,16.6,77.2,2,4
10,1578,476,39.0,65.8,2,2
5,1121,398,34.8,69.1,2,2
1,302,887,53.0,45.4,1,0
19,3000,527,35.9,77.9,3,3
5,1440,693,22.2,62.6,1,1
17,2733,107,28.6,69.5,3,4
14,2175,92,34.8,68.0,3,3
11,1766,554,36.3,55.7,2,2
7,1623,117,37.1,65.3,2,3
8,1420,56,34.4,76.8,3,3
18,2552,464,18.3,66.0,2,3
18,2948,456,32.7,67.5,2,3
17,2522,949,32.7,47.8,2,2
15,2283,984,39.8,69.8,3,1
9,1564,95,28.2,60.0,2,3
0,200,665,28.3,49.8,0,0
17,2552,46,41.6,67.7,4,4
4,1044,819,17.8,78.2,1,1
10,1731,696,21.6,57.5,1,2
16,2547,894,32.4,65.1,3,2
11,1517,124,28.8,73.4,2,3
1,536,374,35.0,83.0,2,1
2,579,79,36.1,57.1,1,2
2,657,377,29.6,53.5,1,1
19,3000,91,28.9,65.2,3,4
20,3000,32,30.9,66.4,3,4
4,847,854,30.0,64.1,1,0
17,2728,80,45.7,68.9,4,4
4,676,880,29.3,72.9,2,0
9,1502,562,34.1,60.4,2,2
3,845,52,22.7,75.4,1,2
11,1623,543,18.4,53.3,1,2
13,2116,502,28.8,61.2,2,2
13,1964,576,30.6,65.7,2,2
5,1105,317,35.4,76.4,2,2
4,1041,377,28.7,54.5,1,2
16,2506,101,33.8,57.6,2,4
9,1802,927,18.1,55.1,1,1
3,387,442,34.3,63.3,1,1
20,3000,856,18.5,48.0,2,2
8,1453,466,30.2,68.5,2,2
17,2663,359,29.5,82.0,3,3
13,2124,110,41.4,56.5,2,3
5,937,73,40.9,61.1,2,3
4,952,69,48.6,58.0,2,2
8,1500,77,25.9,72.7,2,3
17,2639,103,13.0,60.0,2,4
3,1147,951,34.1,52.3,1,0
17,2553,693,13.0,61.7,2,2
9,1531,617,32.3,74.9,2,2
10,1913,1000,50.2,53.9,3,1
15,2340,48,49.5,47.4,3,4
2,556,48,33.7,66.0,1,2
4,845,744,46.3,67.8,2,1
16,2484,772,23.6,61.3,2,2
8,1546,608,30.5,64.7,2,2
8,1322,361,35.8,67.5,2,2
10,1938,516,18.2,61.8,1,2
11,2001,602,53.0,76.1,3,2
4,821,748,28.3,68.7,1,1
16,2416,955,34.6,57.3,2,2
14,2460,353,32.2,65.4,2,3
13,2304,716,35.8,80.1,3,2
16,2267,31,23.6,66.6,2,4
14,1911,380,37.0,62.3,2,3
9,1643,1000,36.5,49.2,2,1
9,1667,17,26.3,58.5,2,3
18,2668,893,15.9,59.5,2,2
20,2908,43,27.3,61.8,3,4
2,591,550,51.4,53.1,2,1
9,1702,448,13.0,83.0,2,2
17,2729,72,28.2,65.1,2,4
8,1455,346,25.1,63.5,2,2
4,1111,33,20.6,63.9,1,3
20,2990,31,23.3,74.5,3,4
7,1108,757,14.9,70.5,1,1
0,526,755,41.0,48.2,0,0
17,2807,115,27.2,52.0,2,4
9,1381,545,43.7,63.7,2,2
14,2106,507,24.8,64.2,2,2
3,821,345,44.1,71.4,2,2
1,738,575,37.5,46.6,1,1
15,2363,55,39.2,61.9,3,4
1,491,962,34.3,61.2,1,0
10,1845,393,45.0,59.9,2,2
18,2734,436,37.4,74.0,3,3
3,993,278,32.0,57.7,1,2
11,2128,898,28.3,54.0,2,1
9,1558,531,48.5,60.9,3,2
1,338,368,29.4,68.4,1,1
10,1659,566,47.3,73.1,3,2
19,2711,902,49.7,62.9,3,2
1,535,431,46.2,66.3,2,1
7,1324,306,40.9,47.7,1,2
19,3000,507,34.1,65.6,3,3
0,656,332,47.9,60.8,0,0
12,2005,929,43.1,70.8,2,1
18,2984,37,33.3,73.5,3,4
11,1864,864,33.9,55.7,2,1
14,2250,441,44.4,65.0,3,3
4,611,43,23.1,72.6,2,2
7,1181,74,19.8,61.2,1,3
7,1155,351,32.5,53.0,1,2
7,1331,794,42.6,56.1,2,1
18,2847,331,36.0,51.2,2,3
3,905,912,24.1,69.2,1,0
15,2222,301,37.8,65.1,2,3
2,618,389,33.5,52.9,1,1
13,2252,485,44.4,58.2,3,2
18,2723,488,50.6,72.1,4,3
6,1288,883,53.0,62.1,3,1
3,803,88,40.2,55.8,2,2
8,1429,122,29.0,48.9,1,3
13,2295,563,29.6,65.7,2,2
3,818,56,39.4,62.3,1,2
6,942,799,52.4,59.3,3,1
6,1025,551,39.9,76.2,2,1
7,1413,987,39.6,58.2,2,0
1,478,861,19.6,56.7,1,0
17,2323,940,36.9,49.7,2,2
11,1965,808,39.0,72.3,3,1
4,1098,187,35.2,73.9,2,2
7,1389,376,24.3,75.9,2,2
0,323,400,50.8,52.6,0,0
20,2914,48,43.2,65.5,3,4
20,3000,903,43.7,83.0,4,2
20,2962,549,37.1,68.1,3,3
14,2514,950,31.9,58.8,2,2
8,1631,926,37.8,69.8,2,1
9,1809,427,22.1,65.9,2,2
5,1175,610,19.9,70.6,1,1
8,1395,924,34.6,49.7,1,1
3,860,158,30.1,52.7,1,2
3,810,567,21.9,61.5,1,1
7,1354,137,25.3,53.9,1,3
18,2645,786,39.6,54.7,3,2
12,1820,220,30.3,79.7,3,3
1,606,521,22.8,61.5,1,1
19,2798,16,30.1,74.9,3,4
7,1133,1000,30.8,68.9,2,0
12,1925,895,43.8,67.9,3,1
16,2688,448,31.3,67.5,2,3
12,1944,371,38.9,67.2,3,3
2,723,789,24.1,74.8,1,0
13,2106,74,30.8,52.4,2,3
0,435,447,36.6,56.7,0,0
3,988,514,22.1,68.6,1,1
12,2136,52,31.6,83.0,3,4
4,932,397,48.6,54.4,2,1
19,2848,354,42.7,61.1,3,3
19,2669,828,40.4,64.8,3,2
16,2313,610,42.3,56.7,3,2
1,693,128,22.0,66.7,1,2
17,2672,537,16.9,75.0,2,3
11,1746,85,27.8,71.1,2,3
6,1236,79,24.4,55.6,1,3
7,1439,734,31.8,63.4,2,1
17,2502,445,19.0,83.0,2,3
9,1272,79,23.3,77.7,2,3
11,1732,60,46.3,59.5,2,3
6,1325,389,16.4,74.6,2,2
17,2738,816,37.5,61.5,3,2
3,747,61,38.6,64.8,2,2
20,3000,488,44.5,60.3,3,3
4,857,46,50.8,49.5,2,3
19,3000,988,40.9,68.7,3,2
0,454,903,40.5,83.0,0,0
5,972,272,35.3,59.3,1,2
20,2928,93,20.5,80.6,3,4
13,2064,62,37.1,62.1,3,3
2,660,870,21.2,52.6,0,0
3,820,44,31.7,74.3,2,2
10,1741,64,34.9,44.6,2,3
4,1140,553,32.2,51.2,1,1
1,597,390,32.7,56.7,1,1
17,2511,666,23.8,55.4,2,3
19,2940,553,30.5,75.0,3,3
14,2252,989,43.2,59.6,3,1
2,563,59,20.5,73.5,1,2
5,949,22,20.1,69.3,1,3
7,1328,421,34.9,44.6,1,2
13,2196,518,35.3,64.5,2,2
15,2523,376,45.4,68.9,3,4
11,1947,506,36.8,57.7,2,2
7,1250,126,31.4,47.9,1,2
5,806,337,31.3,48.0,1,2
10,1810,50,42.3,43.0,2,3
2,805,122,43.0,80.6,2,2
0,200,808,20.6,73.6,0,0
15,2589,1000,29.2,66.1,2,2
8,1547,885,38.7,57.3,2,1
11,1784,367,53.0,73.9,3,2
10,1624,74,24.9,59.6,2,3
1,663,955,43.9,66.4,2,0
