count,co2_level,temp,humidity,ldr_diff,fan_speed,light_intensity
26,1668,20.8,51.5,3115,1,4
9,846,48.4,52.8,-905,2,0
17,1359,37.7,50.7,-1106,2,1
4,689,37.0,65.1,2154,2,1
17,1469,49.8,65.0,2885,4,3
7,1011,41.0,76.6,1820,2,1
4,998,48.8,80.7,0,3,0
29,2038,15.0,76.7,1225,2,3
8,939,54.7,69.7,139,3,0
3,956,26.5,60.1,2023,1,1
14,1378,29.4,70.0,-763,2,1
3,320,27.6,59.7,494,1,0
9,872,43.1,56.7,154,2,0
27,1865,44.0,70.4,3298,4,4
13,1148,51.3,52.6,-130,2,1
27,2015,35.6,76.4,3229,3,4
14,1141,47.5,56.7,-1710,3,1
21,1399,38.0,70.0,159,3,1
0,200,48.5,55.3,-534,0,0
11,754,35.0,51.7,380,1,0
18,1446,51.6,85.0,1212,4,2
26,1799,30.1,57.9,-166,2,1
28,1925,38.5,74.5,-626,4,2
17,1195,24.7,63.3,-1074,1,1
4,455,24.6,60.3,100,1,0
11,1067,37.4,45.0,-413,1,0
28,2015,36.5,59.2,931,3,2
24,1821,32.6,55.8,-1608,2,2
2,200,41.4,71.6,-791,2,0
28,2001,15.8,57.7,93,1,2
6,808,25.1,73.0,3554,1,2
15,1038,45.1,60.2,-1341,2,1
15,998,19.3,76.4,-1051,2,1
23,2149,45.2,71.5,-1312,4,1
24,1628,21.1,67.9,167,2,1
29,1562,45.3,71.8,45,4,2
12,1071,24.7,60.9,-491,1,0
14,937,33.8,75.8,-380,3,1
9,694,39.4,85.0,-660,3,0
27,2053,42.0,47.8,1819,2,3
7,722,17.8,54.3,2995,0,2
11,843,44.0,75.4,3185,3,3
20,1436,20.9,68.6,-1433,2,1
12,1232,36.3,65.5,-1846,2,1
4,589,48.6,61.1,-481,2,0
6,536,23.9,66.9,-2341,1,0
20,1401,55.0,66.1,-146,4,1
9,779,48.0,67.4,3090,3,2
28,1704,55.0,80.5,145,4,2
14,1116,34.5,75.8,201,2,1
15,1359,36.0,66.3,-1102,1,1
25,1225,37.2,56.3,1127,2,2
30,2181,32.5,60.9,1912,3,4
24,1606,35.9,54.9,2808,2,4
14,1099,25.1,52.6,535,1,1
14,1360,29.3,60.8,1283,2,1
10,851,23.3,65.6,-66,1,1
10,1146,33.1,68.7,-1264,2,0
20,1435,48.5,73.2,27,4,1
6,649,33.4,85.0,1465,2,1
2,447,41.9,64.4,-230,2,0
